Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-189,4,237,238,239,239,239,232,239,0.000%,4.63499,1.94,6.66
PLI_User_TC05/api/v1/projectSpecificDoc-190,4,264,262,271,271,271,258,271,0.000%,4.47427,11.04,6.43
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=108fe798-22a3-4800-b2d7-313332bd7f15&rights=2-191,861,229,223,230,231,250,213,1186,0.000%,.24045,0.08,0.29
PLI_User_TC05/api/v1/projectSpecificDoc-192,4,262,260,270,270,270,257,270,0.000%,4.39560,5.60,6.32
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=467479d7-c166-4ee8-81ad-20c92b4bd85a&rights=2-194,861,228,223,230,232,249,213,1362,0.000%,.24047,0.08,0.29
PLI_User_TC05/api/v1/projectSpecificDoc-195,4,278,271,301,301,301,256,301,0.000%,4.34783,5.27,6.25
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=dea052ea-3401-443d-8e31-a9e4466f68ee&rights=2-196,860,226,223,230,231,245,213,929,0.000%,.24024,0.08,0.29
PLI_User_TC05/api/v1/projectSpecificDoc-197,4,259,256,265,265,265,255,265,0.000%,4.41989,10.79,6.35
PLI_User_TC05_ReferenceLibrary_Page,860,2515,2459,2539,3028,3587,2351,5841,0.000%,.23991,0.87,3.20
PLI_User_TC06/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-204,860,226,223,230,231,238,212,1772,0.000%,.24026,0.08,0.28
PLI_User_TC06/api/v1/menuItems?projectNumber=4321&menuId=7f07ff30-d409-4768-885a-f82b120ef7d9-205,860,225,223,230,231,238,212,952,0.000%,.24026,0.08,0.29
PLI_User_TC06/api/v1/menuItems-207,4,509,478,562,562,562,475,562,0.000%,3.35289,3.09,4.75
PLI_User_TC06/api/v1/getusers-208,859,228,223,230,231,244,212,2027,0.000%,.24010,0.08,0.27
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=ac022d02-6398-4875-85dd-955e698acca2&projectNumber=4321-210,859,229,223,230,232,241,213,1634,0.000%,.24010,0.08,0.30
