Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=108fe798-22a3-4800-b2d7-313332bd7f15&rights=2-191,209,226,227,231,233,236,213,259,0.000%,.05849,0.02,0.07
PLI_User_TC05/api/v1/projectSpecificDoc-192,1,263,263,263,263,263,263,263,0.000%,3.80228,4.83,5.47
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=467479d7-c166-4ee8-81ad-20c92b4bd85a&rights=2-194,209,237,227,231,232,235,213,1560,0.000%,.05850,0.02,0.07
PLI_User_TC05/api/v1/projectSpecificDoc-195,1,264,264,264,264,264,264,264,0.000%,3.78788,4.59,5.45
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=dea052ea-3401-443d-8e31-a9e4466f68ee&rights=2-196,209,234,227,231,232,233,213,1920,0.000%,.05850,0.02,0.07
PLI_User_TC05/api/v1/projectSpecificDoc-197,1,268,268,268,268,268,268,268,0.000%,3.73134,9.12,5.37
PLI_User_TC05_ReferenceLibrary_Page,209,2544,2504,2546,2563,4157,2352,5443,0.000%,.05842,0.21,0.78
PLI_User_TC06/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-204,209,226,227,232,234,244,213,249,0.000%,.05850,0.02,0.07
PLI_User_TC06/api/v1/menuItems?projectNumber=4321&menuId=7f07ff30-d409-4768-885a-f82b120ef7d9-205,209,234,227,231,232,233,213,1923,0.000%,.05850,0.02,0.07
PLI_User_TC06/api/v1/menuItems-207,1,490,490,490,490,490,490,490,0.000%,2.04082,1.88,2.90
PLI_User_TC06/api/v1/getusers-208,209,232,227,231,232,238,213,1548,0.000%,.05851,0.02,0.07
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=ac022d02-6398-4875-85dd-955e698acca2&projectNumber=4321-210,209,230,227,231,232,236,214,1199,0.000%,.05851,0.02,0.07
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-209,209,226,227,231,232,238,213,244,0.000%,.05851,0.02,0.07
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=ac022d02-6398-4875-85dd-955e698acca2-211,209,237,227,231,233,238,213,1582,0.000%,.05851,0.02,0.07
PLI_User_TC06/api/v1/leadList-213,1,256,256,256,256,256,256,256,0.000%,3.90625,5.51,5.72
PLI_User_TC06/api/v1/rolesFormData-215,1,240,240,240,240,240,240,240,0.000%,4.16667,1.92,6.04
PLI_User_TC06/api/v1/getusers-212,1,267,267,267,267,267,267,267,0.000%,3.74532,8.94,5.08
PLI_User_TC06/api/v1/projectForm-214,1,310,310,310,310,310,310,310,0.000%,3.22581,4.44,4.59
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-216,209,226,227,231,232,234,213,236,0.000%,.05853,0.02,0.07
PLI_User_TC06/api/v1/getusers-217,209,225,227,231,231,232,213,234,0.000%,.05853,0.02,0.07
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=6d3a0496-2868-4235-917b-146c34e12a28&projectNumber=4321-218,209,236,227,231,232,296,214,1442,0.000%,.05853,0.02,0.07
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=6d3a0496-2868-4235-917b-146c34e12a28-219,209,230,227,231,232,237,213,1240,0.000%,.05853,0.02,0.07
PLI_User_TC06/api/v1/leadList-222,1,254,254,254,254,254,254,254,0.000%,3.93701,3.77,5.76
PLI_User_TC06/api/v1/projectForm-223,1,308,308,308,308,308,308,308,0.000%,3.24675,4.57,4.62
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=92d281d3-d76b-4c7c-ac40-527767d97354&projectNumber=4321-224,209,231,227,232,234,239,213,1210,0.000%,.05854,0.02,0.07
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=92d281d3-d76b-4c7c-ac40-527767d97354-226,209,226,227,231,232,236,213,244,0.000%,.05854,0.02,0.07
PLI_User_TC06/api/v1/leadList-228,1,249,249,249,249,249,249,249,0.000%,4.01606,5.57,5.88
PLI_User_TC06/api/v1/projectForm-229,1,322,322,322,322,322,322,322,0.000%,3.10559,4.20,4.42
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-230,209,226,227,231,232,235,213,266,0.000%,.05855,0.02,0.07
PLI_User_TC06/api/v1/getusers-231,209,225,227,231,231,233,213,237,0.000%,.05855,0.02,0.07
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=7ce875bf-1ec8-44e7-854d-2bc2a9de9b57&projectNumber=4321-232,209,231,227,231,232,234,213,1372,0.000%,.05855,0.02,0.07
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=7ce875bf-1ec8-44e7-854d-2bc2a9de9b57-233,209,226,227,231,232,234,214,239,0.000%,.05855,0.02,0.07
PLI_User_TC06/api/v1/leadList-236,1,254,254,254,254,254,254,254,0.000%,3.93701,3.77,5.76
PLI_User_TC06/api/v1/projectForm-237,1,331,331,331,331,331,331,331,0.000%,3.02115,4.25,4.30
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=c1e77643-d7e7-408a-bd2a-132edc2d0aa1-240,209,240,227,231,232,237,214,2012,0.000%,.05856,0.02,0.07
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=c1e77643-d7e7-408a-bd2a-132edc2d0aa1&projectNumber=4321-239,209,237,227,231,232,236,213,1543,0.000%,.05856,0.02,0.07
PLI_User_TC06/api/v1/leadList-244,1,251,251,251,251,251,251,251,0.000%,3.98406,5.66,5.83
PLI_User_TC06/api/v1/projectForm-243,1,329,329,329,329,329,329,329,0.000%,3.03951,4.21,4.33
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-245,209,226,227,231,232,235,213,241,0.000%,.05857,0.02,0.07
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=a33d4172-b921-4b9d-9502-bdcd1d7ea754-247,209,226,227,231,231,233,213,234,0.000%,.05857,0.02,0.07
